id,date,count
11,2010-10-22,7
11,2010-10-23,90
11,2010-10-24,38
11,2010-10-25,39
11,2010-10-26,68
11,2010-10-27,39
11,2010-10-28,41
11,2010-10-29,54
11,2010-10-30,33
11,2010-10-31,36
11,2010-11-01,64
11,2010-11-02,44
11,2010-11-03,38
11,2010-11-04,88
11,2010-11-05,52
11,2010-11-06,59
11,2010-11-07,48
11,2010-11-08,46
11,2010-11-09,43
11,2010-11-10,39
11,2010-11-11,37
11,2010-11-12,75
11,2010-11-13,43
11,2010-11-14,59
11,2010-11-15,62
11,2010-11-16,43
11,2010-11-17,53
11,2010-11-18,46
11,2010-11-19,96
11,2010-11-20,25
11,2010-11-21,54
11,2010-11-22,41
11,2010-11-23,58
11,2010-11-24,54
11,2010-11-25,83
11,2010-11-26,59
11,2010-11-27,52
11,2010-11-28,48
11,2010-11-29,56
11,2010-11-30,47
11,2010-12-01,57
11,2010-12-02,42
11,2010-12-03,46
11,2010-12-04,49
11,2010-12-05,48
11,2010-12-06,61
11,2010-12-07,57
11,2010-12-08,38
11,2010-12-09,64
11,2010-12-10,59
11,2010-12-11,61
11,2010-12-12,53
11,2010-12-13,75
11,2010-12-14,77
11,2010-12-15,69
11,2010-12-16,58
11,2010-12-17,76
11,2010-12-18,66
11,2010-12-19,7
11,2010-12-20,89
11,2010-12-21,85
11,2010-12-22,78
11,2010-12-23,41
11,2010-12-24,57
11,2010-12-25,30
11,2010-12-26,29
11,2010-12-27,38
11,2010-12-28,42
11,2010-12-29,46
11,2010-12-30,41
11,2010-12-31,48
11,2011-01-01,44
11,2011-01-02,73
11,2011-01-03,60
11,2011-01-04,53
11,2011-01-05,47
11,2011-01-06,36
11,2011-01-07,43
11,2011-01-08,59
11,2011-01-09,40
11,2011-01-10,69
11,2011-01-11,43
11,2011-01-12,59
11,2011-01-13,52
11,2011-01-14,55
11,2011-01-15,34
11,2011-01-16,29
11,2011-01-17,44
11,2011-01-18,45
11,2011-01-19,62
11,2011-01-20,37
11,2011-01-21,72
11,2011-01-22,38
11,2011-01-23,45
11,2011-01-24,47
11,2011-01-25,39
11,2011-01-26,43
11,2011-01-27,71
11,2011-01-28,55
11,2011-01-29,47
11,2011-01-30,45
11,2011-01-31,56
11,2011-02-01,65
11,2011-02-02,68
11,2011-02-03,48
11,2011-02-04,60
11,2011-02-05,52
11,2011-02-06,38
11,2011-02-07,91
11,2011-02-08,39
11,2011-02-09,69
11,2011-02-10,52
11,2011-02-11,54
11,2011-02-12,57
11,2011-02-13,51
11,2011-02-14,40
11,2011-02-15,41
11,2011-02-16,58
11,2011-02-17,77
11,2011-02-18,96
11,2011-02-19,51
11,2011-02-20,42
11,2011-02-21,66
11,2011-02-22,71
11,2011-02-23,5
11,2011-02-24,63
11,2011-02-25,70
11,2011-02-26,51
11,2011-02-27,54
11,2011-02-28,97
11,2011-03-01,91
11,2011-03-02,115
11,2011-03-03,109
11,2011-03-04,99
11,2011-03-05,83
11,2011-03-06,69
11,2011-03-07,81
11,2011-03-08,61
11,2011-03-09,93
11,2011-03-10,74
11,2011-03-11,93
11,2011-03-12,71
11,2011-03-13,5
11,2011-03-14,100
11,2011-03-15,65
11,2011-03-16,81
11,2011-03-17,89
11,2011-03-18,112
11,2011-03-19,93
11,2011-03-20,72
11,2011-03-21,94
11,2011-03-22,98
11,2011-03-23,94
11,2011-03-24,90
11,2011-03-25,94
11,2011-03-26,92
11,2011-03-27,98
11,2011-03-28,102
11,2011-03-29,95
11,2011-03-30,110
11,2011-03-31,113
11,2011-04-01,124
11,2011-04-02,99
11,2011-04-03,75
11,2011-04-04,79
11,2011-04-05,93
11,2011-04-06,132
11,2011-04-07,123
11,2011-04-08,145
11,2011-04-09,102
11,2011-04-10,88
11,2011-04-11,93
11,2011-04-12,137
11,2011-04-13,84
11,2011-04-14,92
11,2011-04-15,107
11,2011-04-16,87
11,2011-04-17,244
11,2011-04-18,180
11,2011-04-19,114
11,2011-04-20,103
11,2011-04-21,84
11,2011-04-22,211
11,2011-04-23,216
11,2011-04-24,199
11,2011-04-25,339
11,2011-04-26,241
11,2011-04-27,164
11,2011-04-28,150
11,2011-04-29,144
11,2011-04-30,97
11,2011-05-01,5
11,2011-05-02,109
11,2011-05-03,107
11,2011-05-04,111
11,2011-05-05,98
11,2011-05-06,99
11,2011-05-07,84
11,2011-05-08,12
11,2011-05-09,124
11,2011-05-10,132
11,2011-05-11,98
11,2011-05-12,200
11,2011-05-13,120
11,2011-05-14,102
11,2011-05-15,99
11,2011-05-16,107
11,2011-05-17,118
11,2011-05-18,101
11,2011-05-19,79
11,2011-05-20,100
11,2011-05-21,2
11,2011-05-22,31
11,2011-05-24,37
11,2011-05-25,1
11,2011-05-26,3
11,2011-05-28,1
11,2011-05-29,1
11,2011-06-03,73
11,2011-06-05,1
11,2011-06-07,3
11,2011-06-10,2
11,2011-06-11,16
11,2011-06-12,106
11,2011-06-13,25
11,2011-06-14,107
11,2011-06-15,130
11,2011-06-16,133
11,2011-06-17,124
11,2011-06-18,89
11,2011-06-19,2
11,2011-06-20,123
11,2011-06-21,144
